"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggraph","ggraph","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.1.0",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr, cli,
vctrs, lifecycle","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"ggrepel","ggrepel","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"ggsci","ggsci","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"ggsignif","ggsignif","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"ggtree","ggtree","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","3.4.4",NA,"R (>= 3.5.0)","ape, aplot, dplyr, ggplot2 (>= 3.0.0), grid, magrittr,
methods, purrr, rlang, ggfun (>= 0.0.6), yulab.utils, tidyr,
tidytree (>= 0.3.9), treeio (>= 1.8.0), utils, scales",NA,"emojifont, ggimage, ggplotify, shadowtext, grDevices, knitr,
prettydoc, rmarkdown, stats, testthat, tibble, glue",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"ggupset","ggupset","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.3.0",NA,"R (>= 2.10)","ggplot2 (>= 3.3.0), gtable, grid, tibble, rlang, scales",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"ggVennDiagram","ggVennDiagram","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.2.2",NA,"R (>= 3.5.0)","sf, ggplot2, dplyr, magrittr, methods, purrr, tibble, plotly,
RVenn, yulab.utils",NA,"testthat (>= 2.1.0), knitr, rmarkdown, tidyr, venn,
RColorBrewer",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"gh","gh","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.3.1",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"gitcreds","gitcreds","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"gld","gld","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.6.6",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"glmnet","glmnet","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","4.1-6",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.2"
"GlobalOptions","GlobalOptions","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 3.3.0), methods","utils",NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"glue","glue","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"GO.db","GO.db","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","3.15.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.57.1)",NA,NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"googledrive","googledrive","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"googlesheets4","googlesheets4","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 3.4)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"GOSemSim","GOSemSim","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.22.0",NA,"R (>= 3.5.0)","AnnotationDbi, GO.db, methods, utils","Rcpp","AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
rmarkdown, org.Hs.eg.db, prettydoc, testthat, ROCR",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"gplots","gplots","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"graph","graph","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.74.0",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"graphlayouts","graphlayouts","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.8.2",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"gridExtra","gridExtra","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"gridGraphics","gridGraphics","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"GSEABase","GSEABase","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.58.0",NA,"R (>= 2.6.0), BiocGenerics (>= 0.13.8), Biobase (>= 2.17.8),
annotate (>= 1.45.3), methods, graph (>= 1.37.2)","AnnotationDbi, XML",NA,"hgu95av2.db, GO.db, org.Hs.eg.db, Rgraphviz, ReportingTools,
testthat, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"gtable","gtable","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.3.1",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"gtools","gtools","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","3.9.3",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"haven","haven","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.5.1",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"here","here","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"highr","highr","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.2.1"
"hms","hms","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.1.2",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"homerkit","homerkit","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1.0",NA,NA,"XML, janitor, readr, reshape2, stringr, tibble",NA,"knitr, rmarkdown",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"htmltools","htmltools","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.5.4",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap (>= 1.1.0), ellipsis",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"htmlwidgets","htmlwidgets","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"httpuv","httpuv","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.6.7",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"httr","httr","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.4.4",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"hwriter","hwriter","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.3.2.1",NA,"R (>= 2.6.0)",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"no","4.2.0"
"ids","ids","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"igraph","igraph","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.3.5",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
rlang, stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"ini","ini","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"insight","insight","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.19.0",NA,"R (>= 3.5)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, geoR, GLMMadaptive, glmmTMB, gmnl,
gt, httr, ivreg, JM, knitr, lavaan, lavaSearch2, lfe, lme4,
lmerTest, lmtest, logistf, logitr, MASS, marginaleffects,
Matrix, mclogit, mclust, MCMCglmm, merTools, metaBMA, mgcv,
mice, mlogit, mhurdle, mmrm, multgee, nlme, nnet, nonnest2,
ordinal, panelr, parameters, parsnip, pbkrtest, performance,
plm, poorman, pscl, psych, quantreg, rmarkdown, rms,
robustbase, robustlmm, rstanarm (>= 2.21.1), rstantools,
rstudioapi, sandwich, speedglm, splines, statmod, survey,
survival, testthat, truncreg, tweedie, TMB, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"interp","interp","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.1-3",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"IRanges","IRanges","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.30.1",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.33.3)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"isoband","isoband","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.2.6",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"iterators","iterators","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.2.2"
"janitor","janitor","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.1.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"knitr, rmarkdown, sf, testthat, tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"JASPAR2020","JASPAR2020","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.99.10",NA,"R (>= 3.6.0), methods",NA,NA,"knitr, rmarkdown, TFBSTools (>= 1.23.1)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"JASPAR2022","JASPAR2022","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.99.7",NA,"R (>= 4.1.0), methods, BiocFileCache, utils",NA,NA,"knitr, rmarkdown, BiocStyle, TFBSTools (>= 1.31.2)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"jpeg","jpeg","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1-10",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"jquerylib","jquerylib","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"jsonlite","jsonlite","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.8.2",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"KEGGREST","KEGGREST","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.36.3",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"knitr","knitr","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.40",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.29), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, gridSVG, styler
(>= 1.2.0), targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.2.1"
"labeling","labeling","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.2.0"
"lambda.r","lambda.r","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.1"
"later","later","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.3.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"latticeExtra","latticeExtra","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.6-30",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer,
interp, MASS",NA,"maps, mapproj, deldir, quantreg, zoo, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"lazyeval","lazyeval","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"leaps","leaps","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"lessR","lessR","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","4.2.6",NA,"R (>= 3.6.0)","graphics, grDevices, stats, utils, methods, lattice,
latticeExtra, robustbase, ellipse, leaps, openxlsx, colorspace,
shiny, knitr",NA,"KernSmooth, rmarkdown, wesanderson, haven, readODS, triangle",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"libcoin","libcoin","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.0-9",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"lifecycle","lifecycle","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.0.3",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, rlang (>= 1.0.6)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"limma","limma","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","3.52.4",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods",NA,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.2.1"
"lme4","lme4","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.1-30",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"lmodel2","lmodel2","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.7-3",NA,"R (>= 2.14.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"lmom","lmom","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","3.0",NA,"R (>= 3.0.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","4.2.3"
"locfit","locfit","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.5-9.6",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"lubridate","lubridate","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.9.0",NA,"methods, timechange (>= 0.1.1), R (>= 3.2)","generics",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"magrittr","magrittr","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"maptools","maptools","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.1-4",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"Matrix","Matrix","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.5-1","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.1"
"MatrixGenerics","MatrixGenerics","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.8.1",NA,"matrixStats (>= 0.60.1)","methods",NA,"sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0), Matrix",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"MatrixModels","MatrixModels","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.5-1",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.4-2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"matrixStats","matrixStats","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.62.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"memoise","memoise","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"mime","mime","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"miniUI","miniUI","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"minqa","minqa","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"modelr","modelr","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1.10",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"modeltools","modeltools","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"monaLisa","monaLisa","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.2.0",NA,"R (>= 4.1)","methods, stats, utils, grDevices, graphics, BiocGenerics,
GenomicRanges, TFBSTools, Biostrings, IRanges, stabs, BSgenome,
glmnet, S4Vectors, SummarizedExperiment, BiocParallel, grid,
circlize, ComplexHeatmap (>= 2.11.1), XVector, GenomeInfoDb,
tools, vioplot",NA,"JASPAR2020, BSgenome.Mmusculus.UCSC.mm10,
TxDb.Mmusculus.UCSC.mm10.knownGene, knitr, rmarkdown, testthat,
BiocStyle, gridExtra",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"multcomp","multcomp","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","1.4-23",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"multcompView","multcompView","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.1-8",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.2.1"
"munsell","munsell","C:/Users/rgilmore/AppData/Local/R/win-library/4.2","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
